epoch,train_loss,val_loss,lr,w
0,0.34493334472179416,0.1523335874080658,0.00029999999999999997,0.0078558800742030144
1,0.10264389395713806,0.067588992416858673,0.00029999999999999997,0.01499299518764019
2,0.051045238971710205,0.038228228688240051,0.00029999999999999997,0.019625900313258171
3,0.032912168726325033,0.028434749692678452,0.00029999999999999997,0.021673934534192085
4,0.027700375393033029,0.026265973225235939,0.00029999999999999997,0.022066319361329079
5,0.026233430877327921,0.025256946682929993,0.00029999999999999997,0.021781306713819504
6,0.025529006421566011,0.025136981159448624,0.00029999999999999997,0.021281082183122635
7,0.025104270502924918,0.024559663608670235,0.00029999999999999997,0.020714716985821724
8,0.024677664116024969,0.024062234908342361,0.00029999999999999997,0.020229922607541084
9,0.024432781562209131,0.023779075592756271,0.00029999999999999997,0.019826849922537804
10,0.024124737679958343,0.025627903640270233,0.00029999999999999997,0.019472140818834305
11,0.024170780554413795,0.023870302364230156,0.00029999999999999997,0.019201422110199928
12,0.024544737860560419,0.0243192408233881,0.00029999999999999997,0.019140657037496567
13,0.023649399578571321,0.023486694321036339,0.00029999999999999997,0.019008597359061241
14,0.023578210398554802,0.023641686886548996,0.00029999999999999997,0.018737068399786949
15,0.023453211188316347,0.022800855338573456,0.00029999999999999997,0.018548635765910149
16,0.023175027370452881,0.022748194634914398,0.00029999999999999997,0.01837998628616333
17,0.022975561171770097,0.022594612091779709,0.00029999999999999997,0.018212879076600075
18,0.022904638648033143,0.025625918060541153,0.00029999999999999997,0.018053919076919556
19,0.02307771161198616,0.022368250414729118,0.00029999999999999997,0.018083959817886353
20,0.023024291023612021,0.022656276822090149,0.00029999999999999997,0.018113968893885612
21,0.02271747387945652,0.022208267822861671,0.00029999999999999997,0.017982114106416702
22,0.022783523723483086,0.023755837231874466,0.00029999999999999997,0.017889583483338356
23,0.0234695665538311,0.022285904735326767,0.00029999999999999997,0.018243012949824333
24,0.022489783838391304,0.022066030651330948,0.00029999999999999997,0.017945755273103714
25,0.022339223176240919,0.021964043378829956,0.00029999999999999997,0.017768615856766701
26,0.022185028791427613,0.022533129900693893,0.00029999999999999997,0.017543191090226173
27,0.022320702373981476,0.022120395675301552,0.00029999999999999997,0.017554061487317085
28,0.022408237755298613,0.022939307615160942,0.00029999999999999997,0.017477625980973244
29,0.022603609263896943,0.0226422268897295,0.00029999999999999997,0.017644520848989487
30,0.022612165287137033,0.021874772384762764,0.00029999999999999997,0.017780836671590805
31,0.022007324248552323,0.021804451942443848,0.00029999999999999997,0.017495006322860718
32,0.022573522329330444,0.021837739273905754,0.00029999999999999997,0.017534319311380386
33,0.022686213254928589,0.022629238665103912,0.00029999999999999997,0.017721392214298248
34,0.02216368980705738,0.022306375205516815,0.00029999999999999997,0.017596136778593063
35,0.021953486204147339,0.02179284393787384,0.00029999999999999997,0.017310772091150284
36,0.022754786834120751,0.022160571068525314,0.00029999999999999997,0.01763569563627243
37,0.022406147047877311,0.022166294977068901,0.00029999999999999997,0.017679501324892044
38,0.021960971876978874,0.021961262449622154,0.00029999999999999997,0.017441153526306152
39,0.022636746987700462,0.0231794323772192,0.00029999999999999997,0.017470382153987885
40,0.022137874439358711,0.021793927997350693,0.00029999999999999997,0.017601275816559792
41,0.021886965855956078,0.022392731159925461,0.00029999999999999997,0.017252024263143539
42,0.02215195119380951,0.022203631699085236,0.00029999999999999997,0.017326606437563896
43,0.021790436282753945,0.021591534838080406,0.00029999999999999997,0.01718355156481266
44,0.022173402085900306,0.021850766614079475,0.00029999999999999997,0.017407717183232307
45,0.021956174075603484,0.022277221083641052,0.00029999999999999997,0.017311053350567818
46,0.021883349865674973,0.021634729579091072,0.00029999999999999997,0.017198693007230759
47,0.022002075612545014,0.022498816251754761,0.00029999999999999997,0.017261585220694542
48,0.02236897386610508,0.021871551871299744,0.00029999999999999997,0.017679726704955101
49,0.022183722406625746,0.021959653124213219,0.00029999999999999997,0.017462918534874916
50,0.02184787392616272,0.021661246195435524,0.00029999999999999997,0.017194999381899834
51,0.021977891325950624,0.023143727332353592,0.00029999999999999997,0.017187394201755524
52,0.022786649912595748,0.021901091560721397,0.00029999999999999997,0.017799172550439835
53,0.021871504038572312,0.021553166210651398,0.00029999999999999997,0.017390446737408638
54,0.021751883253455163,0.021493528038263321,0.00029999999999999997,0.017182756215333939
55,0.021665918976068496,0.021530846133828163,0.00029999999999999997,0.017083154991269112
56,0.021763416528701781,0.021664997562766075,0.00029999999999999997,0.017093909904360771
57,0.021719516143202781,0.02192002534866333,0.00029999999999999997,0.017091013491153717
58,0.021841717064380647,0.021635869517922401,0.00029999999999999997,0.017027899622917175
59,0.021754229068756105,0.02172975055873394,0.00029999999999999997,0.017013873904943466
